# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	33981
#@/user_id	iarch
bai he zhan kai 	百合展開	c=2 d=8.44208e-49 t=33981
bai jiang 	白醬	c=3 d=2.5416e-12 t=33981
bai ke 	百科	c=2 d=4.55407e-12 t=33981
bai lai shuo 	白來說	c=1 d=3.61086e-17 t=33981
bai liang ren suo ci 	拜兩人所賜	c=1 d=1.94675e-43 t=33981
bai nian 	百年	c=0 d=8.66201e-18 t=33981
bai nong 	擺弄	c=1 d=1.11507e-46 t=33981
bai qi 	擺起	c=0 d=0.00858632 t=33981
bai qi jia shi 	擺起架勢	c=1 d=0.0862936 t=33981
bai qi suo ci 	拜其所賜	c=1 d=9.09189e-28 t=33981
bai re hua 	白熱化	c=1 d=4.52273e-19 t=33981
bai tuo 	拜託	c=5 d=1.24832e-13 t=33981
bai tuo 	擺脫	c=1 d=9.18981e-07 t=33981
bai tuo le 	拜託了	c=4 d=0.000765486 t=33981
bai tuo le 	擺脫了	c=1 d=1.95923e-30 t=33981
bai wan 	百萬	c=1 d=1.66382e-19 t=33981
bai xi huan 	白喜歡	c=1 d=3.86268e-16 t=33981
bai xue 	白雪	c=1 d=2.08868e-18 t=33981
bai yan 	白眼	c=1 d=2.2736e-16 t=33981
bai yin 	敗因	c=1 d=5.81936e-14 t=33981
bai zao xing 	擺造型	c=1 d=1.64245e-14 t=33981
bai zhe 	擺着	c=1 d=3.03746e-12 t=33981
bai zhe 	敗者	c=2 d=3.1724e-23 t=33981
bai zhe bu nao 	百折不撓	c=1 d=6.02973e-20 t=33981
bai zhi shi 	白只是	c=1 d=1.07029e-05 t=33981
ban 	半	c=1 d=0.00017643 t=33981
ban 	版	c=1 d=1.37517e-42 t=33981
ban 	般	c=8 d=1.2597e-10 t=33981
ban 	辦	c=3 d=1.44129e-06 t=33981
ban duan 	半端	c=1 d=0.204948 t=33981
ban fa 	辦法	c=3 d=2.67363e-11 t=33981
ban ji 	班級	c=1 d=3.09345e-21 t=33981
ban ji li 	班級裏	c=1 d=5.22651e-44 t=33981
ban jiao shi 	絆腳石	c=1 d=3.92573e-30 t=33981
ban jing 	半徑	c=1 d=1.36468e-24 t=33981
ban lv 	伴侶	c=1 d=4.10454e-45 t=33981
ban sheng 	伴生	c=1 d=0.00388746 t=33981
ban sui 	伴隨	c=4 d=5.29166e-12 t=33981
ban sui zhe 	伴隨着	c=12 d=0.00662479 t=33981
ban wu yi shi 	半無意識	c=1 d=0.00177315 t=33981
ban yi shang 	半以上	c=0 d=0.00735345 t=33981
ban zheng 	半睜	c=2 d=2.4933e-13 t=33981
ban zheng zhe 	半睜着	c=2 d=6.25106e-13 t=33981
ban zheng zhe yan 	半睜着眼	c=1 d=5.35809e-13 t=33981
ban zou 	伴奏	c=2 d=2.07791e-16 t=33981
bang 	棒	c=1 d=2.31071e-30 t=33981
bang dao 	幫到	c=1 d=6.78326e-23 t=33981
bang ding 	綁定	c=0 d=4.51336e-25 t=33981
bang ding zai 	綁定在	c=1 d=4.53598e-24 t=33981
bang jia 	綁架	c=1 d=5.56235e-12 t=33981
bang mang 	幫忙	c=1 d=1.12846e-10 t=33981
bang wan 	傍晚	c=1 d=6.16516e-46 t=33981
bang zhu 	幫助	c=0 d=1.70652e-24 t=33981
bao 	報	c=1 d=6.92029e-23 t=33981
bao bao 	抱抱	c=1 d=1.65862e-41 t=33981
bao chi 	保持	c=3 d=0.000108155 t=33981
bao chi 	抱持	c=3 d=1.14906e-17 t=33981
bao chi zhe 	抱持着	c=3 d=8.16362e-13 t=33981
bao dan 	爆誕	c=2 d=7.07113e-12 t=33981
bao fa 	爆發	c=1 d=9.31886e-24 t=33981
bao gao 	報告	c=5 d=0.115325 t=33981
bao gui 	寶貴	c=2 d=3.17727e-12 t=33981
bao han 	包含	c=2 d=0.0257325 t=33981
bao han zai nei 	包含在內	c=1 d=2.92035e-20 t=33981
bao han zi ji 	包含自己	c=1 d=1.41782e-19 t=33981
bao hong 	爆紅	c=1 d=1.19596e-17 t=33981
bao hu 	保護	c=1 d=7.49665e-24 t=33981
bao hu ling 	保護領	c=1 d=2.06895e-24 t=33981
bao hu zhe 	保護着	c=1 d=7.53423e-23 t=33981
bao jin 	抱緊	c=3 d=0.00121927 t=33981
bao kuo 	包括	c=4 d=7.85131e-08 t=33981
bao li 	暴力	c=3 d=9.68154e-25 t=33981
bao lu 	暴露	c=3 d=1.01982e-25 t=33981
bao qi 	抱起	c=1 d=4.80828e-05 t=33981
bao qi zi ji 	抱起自己	c=1 d=0.000483239 t=33981
bao qian 	抱歉	c=10 d=0.826959 t=33981
bao shou 	保守	c=2 d=8.09318e-12 t=33981
bao tou 	抱頭	c=1 d=9.9515e-32 t=33981
bao wei 	包圍	c=1 d=9.07643e-08 t=33981
bao wu 	寶物	c=0 d=3.9264e-33 t=33981
bao wu dian 	寶物殿	c=1 d=3.94608e-32 t=33981
bao xian 	保險	c=1 d=5.70705e-20 t=33981
bao yin 	爆音	c=1 d=5.02174e-15 t=33981
bao you 	保有	c=7 d=0.0769192 t=33981
bao you 	抱有	c=4 d=0.00156483 t=33981
bao you yi wen 	抱有疑問	c=1 d=2.00119e-44 t=33981
bao yuan 	抱怨	c=2 d=3.69272e-17 t=33981
bao yuan dao 	抱怨道	c=1 d=3.71122e-16 t=33981
bao zhang 	保障	c=0 d=2.09872e-46 t=33981
bao zhang 	暴漲	c=1 d=6.44694e-13 t=33981
bao zhang le 	保障了	c=1 d=2.10924e-45 t=33981
bao zhe 	包着	c=1 d=0.0587185 t=33981
bao zhe 	抱着	c=5 d=4.21553e-15 t=33981
bao zhe xi gai 	抱着膝蓋	c=1 d=5.56519e-18 t=33981
bao zheng 	保證	c=1 d=4.27619e-36 t=33981
bao zhu 	抱住	c=1 d=5.99863e-18 t=33981
bei 	被	c=170 d=0.448832 t=33981
bei ai 	悲哀	c=0 d=1.19161e-34 t=33981
bei ai zhong zu 	悲哀種族	c=1 d=1.19759e-33 t=33981
bei bai 	被白	c=1 d=3.34653e-05 t=33981
bei che di 	被徹底	c=1 d=1.63032e-15 t=33981
bei cheng wei 	被稱爲	c=2 d=3.04087e-24 t=33981
bei chuan song 	被傳送	c=1 d=1.85824e-25 t=33981
bei chuang zao 	被創造	c=1 d=2.17281e-12 t=33981
bei di 	背地	c=1 d=3.28016e-34 t=33981
bei diu xia 	被丟下	c=1 d=6.99936e-39 t=33981
bei dong 	被動	c=1 d=7.00793e-24 t=33981
bei dui 	背對	c=1 d=7.80102e-50 t=33981
bei fu yu 	被賦予	c=1 d=1.72279e-17 t=33981
bei fu zhe 	背負着	c=1 d=5.81837e-12 t=33981
bei gan 	倍感	c=0 d=5.36569e-14 t=33981
